1	15	164	1058	7150	45	38
2	19	74	1080	7400	38	43
3	12	73	1150	7550	33	46
4	26	139	1356	7850	24	52
5	15	258	736	11500	550	20
6	18	162	1172	7400	38	43
7	15	5	966	7300	41	41
8	16	302	1285	7350	39	42
9	22	487	940	11200	560	19
10	23	117	1103	7350	39	42
11	14	488	1172	8720	220	29
12	19	369	1331	7300	41	41
13	11	208	1123	7200	44	39
14	13	232	1057	7000	50	35
15	30	577	964	10300	590	16
16	27	300	1150	7050	48	36
17	17	51	1058	7400	38	43
18	13	210	1031	7000	50	35
19	11	484	1240	9260	160	32
20	23	163	824	8540	240	28
21	18	415	1353	7250	42	40
22	21	28	1008	7350	39	42
23	15	325	963	8360	260	27
24	30	50	1173	7650	30	48
25	8	235	1057	7000	50	35
26	22	28	850	7000	50	35
27	30	27	966	7250	42	40
28	28	48	1031	7350	39	42
29	27	5	643	8360	260	27
30	7	439	1380	7250	42	40
31	21	71	690	8180	280	26
32	25	1	1240	7900	23	53
33	30	462	1356	7150	45	38
34	9	95	1032	7250	42	40
35	9	718	1171	11200	560	19
36	5	278	1354	7550	33	46
37	20	258	1380	7650	30	48
38	21	347	1333	7350	39	42
39	5	372	1285	7200	44	39
40	16	142	1218	7550	33	46
41	16	624	1330	8900	200	30
42	6	327	1261	7250	42	40
43	10	463	1285	7000	50	35
44	22	26	1311	8000	20	55
45	16	303	1057	9260	160	32
46	10	534	917	10300	590	16
47	12	73	1238	7750	27	50
48	8	164	1288	7650	30	48
49	10	327	1150	7000	50	35
50	27	93	756	8540	240	28
51	25	4	1288	8000	20	55
52	27	141	1012	7100	47	37
53	18	280	874	8000	300	25
54	13	415	827	10600	580	17
55	29	348	1311	7300	41	41
56	27	116	1147	7450	36	44
57	10	347	1171	7000	50	35
58	8	672	1310	8360	260	27
59	21	4	1219	7850	24	52
60	17	534	939	10600	580	17
61	10	165	1355	7800	26	51
62	25	326	1333	7400	38	43
63	23	717	1150	10900	570	18
64	7	73	1193	7650	30	48
65	17	302	1077	9440	140	33
66	10	51	664	8180	280	26
67	27	232	849	8180	280	26
68	6	118	1216	7600	32	47
69	5	73	1353	8000	20	55
70	8	510	1355	7050	48	36
71	9	372	1009	8360	260	27
72	19	349	917	12700	510	24
73	20	279	1238	7300	41	41
74	18	741	1376	8360	260	27
75	9	48	989	7250	42	40
76	20	116	828	8900	200	30
77	17	739	1147	10600	580	17
78	22	165	942	9440	140	33
79	14	119	1216	7600	32	47
80	10	304	1287	7350	39	42
81	6	233	617	10300	590	16
82	18	70	1307	7900	23	53
83	28	26	966	7250	42	40
84	8	27	434	10600	580	17
85	17	488	1101	8180	280	26
86	20	233	1218	7350	39	42
87	5	488	1308	7000	50	35
88	25	878	1261	10300	590	16
89	29	371	1309	7250	42	40
90	13	485	1310	7000	50	35
91	27	534	1354	7000	50	35
92	9	255	642	10300	590	16
93	10	142	778	8360	260	27
94	10	141	962	7000	50	35
95	16	393	1127	9080	180	31
96	22	348	1238	7150	45	38
97	27	28	736	8900	200	30
98	25	74	1193	7650	30	48
99	18	189	1219	7450	36	44
100	19	163	1218	7500	35	45
101	16	24	413	10300	590	16
102	25	254	871	8180	280	26
103	24	208	1378	7750	27	50
104	10	327	1356	7450	36	44
105	20	50	1288	7900	23	53
106	19	163	1310	7700	29	49
107	16	695	1057	10000	600	15
108	22	760	1192	10900	570	18
109	13	162	1378	7850	24	52
110	11	164	757	8000	300	25
111	15	47	756	8900	200	30
112	28	416	1378	7300	41	41
113	15	186	1034	7050	48	36
114	28	695	1102	10600	580	17
115	6	142	1080	7250	42	40
116	11	392	1354	7300	41	41
117	5	395	1194	9620	120	34
118	8	118	1334	7850	24	52
119	18	143	1012	7100	47	37
120	21	210	1332	7650	30	48
121	27	556	1009	11200	560	19
122	15	809	1356	12400	520	23
123	5	373	736	10000	600	15
124	16	117	1379	7950	21	54
125	26	233	1172	7250	42	40
126	29	189	1355	7750	27	50
127	17	140	1311	7750	27	50
128	9	463	1353	7150	45	38
129	30	49	711	8540	240	28
130	10	120	1102	7350	39	42
131	8	141	1127	7350	39	42
132	16	120	1169	7500	35	45
133	5	853	1217	10000	600	15
134	20	49	1033	7350	39	42
135	24	97	664	12700	510	24
136	10	95	1330	7900	23	53
137	24	48	918	7100	47	37
138	25	73	1239	7750	27	50
139	6	327	690	10000	600	15
140	17	166	1012	7050	48	36
141	5	348	1193	7050	48	36
142	28	97	1308	7850	24	52
143	14	71	1032	7300	41	41
144	7	324	1240	7200	44	39
145	5	74	1357	8000	20	55
146	10	212	573	10000	600	15
147	9	783	1217	10900	570	18
148	30	26	893	7100	47	37
149	15	47	988	7250	42	40
150	12	326	1263	7250	42	40
151	26	189	1033	7050	48	36
152	19	556	1032	11500	550	20
153	20	139	1169	7450	36	44
154	11	257	848	8000	300	25
155	29	602	1285	8720	220	29
156	7	28	917	7150	45	38
157	22	93	964	7100	47	37
158	5	95	526	10900	570	18
159	24	116	1194	7550	33	46
160	25	211	666	11200	560	19
161	24	370	1265	7150	45	38
162	25	300	1171	7100	47	37
163	19	4	1081	7550	33	46
164	11	372	849	11500	550	20
165	30	164	1378	7850	24	52
166	12	4	1146	7700	29	49
167	25	141	573	10900	570	18
168	30	785	1377	8000	300	25
169	18	49	1307	7950	21	54
170	24	555	1285	9080	180	31
171	29	119	965	7050	48	36
172	23	373	805	10900	570	18
173	7	280	1240	7300	41	41
174	16	93	1378	8000	20	55
175	19	254	1194	7250	42	40
176	16	70	942	7100	47	37
177	29	278	870	8000	300	25
178	17	231	1078	7050	48	36
179	18	27	480	11200	560	19
180	6	323	757	10900	570	18
181	7	163	1218	7500	35	45
182	30	346	963	8180	280	26
183	10	323	779	11200	560	19
184	11	164	1219	7500	35	45
185	27	302	1123	7000	50	35
186	8	49	939	7150	45	38
187	18	507	1035	12100	530	22
188	21	187	1354	7750	27	50
189	5	301	1264	7300	41	41
190	28	235	1380	7700	29	49
191	7	507	1056	12400	520	23
192	14	211	1376	7750	27	50
193	13	26	550	12100	530	22
194	7	603	1262	8540	240	28
195	28	94	962	7100	47	37
196	9	392	1287	7150	45	38
197	13	96	667	12700	510	24
198	17	349	1215	7100	47	37
199	23	47	709	8540	240	28
200	23	185	1307	7650	30	48
201	28	738	1216	11500	550	20
202	15	714	1219	11800	540	21
203	9	188	988	9620	120	34
204	28	603	1331	9080	180	31
205	9	93	919	7000	50	35
206	19	139	1080	7250	42	40
207	13	415	848	10900	570	18
208	21	810	1265	11200	560	19
209	9	325	1194	7100	47	37
210	11	300	1241	7250	42	40
211	13	463	1078	8180	280	26
212	17	763	1356	8000	300	25
213	5	350	1147	9620	120	34
214	30	580	1195	8180	280	26
215	26	646	1125	11500	550	20
