1	29	327	1218	7850	17	38
2	29	143	1238	8300	8	47
3	12	462	1355	7850	17	38
4	23	302	1309	8100	12	43
5	24	141	551	10600	580	17
6	11	281	918	8360	260	27
7	18	301	1286	8050	13	42
8	14	117	1354	8600	2	53
9	26	370	1240	7800	18	37
10	8	948	1355	10600	580	17
11	13	603	1261	8540	240	28
12	16	163	1195	8150	11	44
13	26	507	962	11200	560	19
14	16	163	1102	7950	15	40
15	7	668	1238	12700	510	24
16	22	96	1011	7900	16	39
17	19	210	781	12700	510	24
18	28	534	1078	12400	520	23
19	5	256	643	10300	590	16
20	12	418	1262	7750	19	36
21	24	327	1171	7750	19	36
22	25	302	1239	7950	15	40
23	6	96	1330	8600	2	53
24	23	370	1284	7900	16	39
25	17	737	1331	8000	300	25
26	11	532	1376	7750	19	36
27	25	234	1263	8150	11	44
28	10	2	849	7750	19	36
29	20	327	1238	7900	16	39
30	21	2	1218	8550	3	52
31	18	324	1284	8000	14	41
32	18	142	962	7700	20	35
33	29	209	1054	7750	19	36
34	6	74	1054	8050	13	42
35	5	139	1240	8300	8	47
36	9	277	1101	7700	20	35
37	20	624	1331	8900	200	30
38	18	141	964	7700	20	35
39	25	327	1058	9080	180	31
40	30	603	1077	11500	550	20
41	17	440	1333	7850	17	38
42	17	70	1310	8600	2	53
43	16	165	1376	8550	3	52
44	10	626	1311	8720	220	29
45	24	166	1238	8250	9	46
46	13	234	1078	7750	19	36
47	30	419	1334	7900	16	39
48	10	258	1242	8050	13	42
49	15	209	781	12700	510	24
50	5	70	1147	8250	9	46
51	28	324	779	11200	560	19
52	29	73	460	10300	590	16
53	16	671	1238	12700	510	24
54	20	47	688	8360	260	27
55	7	185	1149	8000	14	41
56	13	117	1217	8300	8	47
57	26	347	1215	7800	18	37
58	15	117	1148	8150	11	44
59	12	465	1169	8900	200	30
60	9	806	1240	10900	570	18
61	14	96	1103	8100	12	43
62	10	602	1077	11500	550	20
63	27	645	1261	8180	280	26
64	14	28	963	7950	15	40
65	25	24	847	7700	20	35
66	19	463	1081	8180	280	26
67	9	300	1147	7750	19	36
68	23	324	1333	8100	12	43
69	7	647	1033	10300	590	16
70	25	119	989	7800	18	37
71	7	209	1353	8400	6	49
72	29	233	1217	8050	13	42
73	9	118	1217	8300	8	47
74	11	326	1057	9080	180	31
75	19	162	896	9080	180	31
76	18	277	713	10900	570	18
77	21	166	1079	7900	16	39
78	27	24	1171	8400	6	49
79	6	373	1311	7950	15	40
80	9	166	1056	7850	17	38
81	29	165	1125	8000	14	41
82	11	461	1034	12700	510	24
83	18	143	1010	7800	18	37
